file,para_id,text
TranscriptFY26Q1.docx,0,"Microsoft FY26 First Quarter Earnings Conference Call Jonathan Neilson, Satya Nadella, Amy Hood Wednesday October 29, 2025"
TranscriptFY26Q1.docx,1,"JONATHAN NEILSON: Good afternoon and thank you for joining us today. On the call with me are Satya Nadella, chairman and chief executive officer, Amy Hood, chief financial officer, Alice Jolla, chief accounting officer, and Keith Dolliver, corporate secretary and deputy general counsel."
TranscriptFY26Q1.docx,2,"You can find our earnings press release and financial summary slide deck, which is intended to supplement our prepared remarks during today’s call and provides the reconciliation of differences between GAAP and non-GAAP financial measures on the Microsoft Investor Relations website. More detailed outlook slides will be available on the Microsoft Investor Relations website."
TranscriptFY26Q1.docx,3,On this call we will discuss certain non-GAAP items. The non-GAAP financial measures provided should not be considered as a substitute for or superior to the measures of financial performance prepared in accordance with GAAP. They are included as additional clarifying items to aid investors in further understanding the company's first quarter performance in addition to the impact these items and events have on the financial results.
TranscriptFY26Q1.docx,4,"All growth comparisons we make on the call today relate to the corresponding period of last year unless otherwise noted. We will also provide growth rates in constant currency, when available, as a framework for assessing how our underlying businesses performed, excluding the effect of foreign currency rate fluctuations. Where growth rates are the same in constant currency, we will refer to the growth rate only."
TranscriptFY26Q1.docx,5,"We will post our prepared remarks to our website. Today's call is being recorded. If you ask a question, it will be included in our live transmission, in the transcript, and in any future use of the recording. You can replay the call and view the transcript on the Microsoft Investor Relations website."
TranscriptFY26Q1.docx,6,"During this call, we will be making forward-looking statements which are predictions, projections, or other statements about future events. These statements are based on current expectations and assumptions that are subject to risks and uncertainties. Actual results could materially differ because of factors discussed in today's earnings press release, in the comments made during this conference call, and in the risk factor section of our Form 10-K, Forms 10-Q, and other reports and filings with the Securities and Exchange Commission. We do not undertake any duty to update any forward-looking statement."
TranscriptFY26Q1.docx,7,"And with that, I’ll turn the call over to Satya."
TranscriptFY26Q1.docx,8,It was a very strong start to our fiscal year.
TranscriptFY26Q1.docx,9,"Microsoft Cloud revenue surpassed $49 billion, up 26% year over year."
TranscriptFY26Q1.docx,10,"And our commercial RPO increased over 50% to nearly $400 billion, with a weighted average duration of only two years."
TranscriptFY26Q1.docx,11,"We are seeing increasing demand and diffusion of our AI platform and family of Copilots, which is fueling our investments across both capital and talent."
TranscriptFY26Q1.docx,12,"When it comes to infrastructure, we are building a planet-scale cloud and AI factory, maximizing tokens per dollar per watt, while supporting the sovereignty needs of customers and countries."
TranscriptFY26Q1.docx,13,"We are innovating rapidly across our family of Copilots spanning the high value domains of information work, coding, security, science, health, and consumer."
